"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
"393",69.4599990844727,73.2699966430664,69.1999969482422,72.7799987792969,96363300,66.6052932739258
"394",72.8000030517578,74.3000030517578,72.6600036621094,73.7900009155273,159733500,67.5296020507812
"395",73.5299987792969,74.4199981689453,72.3199996948242,73.0400009155273,114816600,66.8432464599609
"396",73.3000030517578,73.4400024414062,71.4400024414062,72.6800003051758,113025000,66.513801574707
"397",72.8000030517578,73.129997253418,71.2799987792969,72.5,109141900,66.3490600585938
"398",73.0599975585938,74.0999984741211,71.9300003051758,72.4899978637695,99167400,66.6933364868164
"399",72.4700012207031,73.3499984741211,71.6999969482422,72.8199996948242,75737600,66.9969711303711
"400",73.0599975585938,74.9599990844727,72.0500030517578,73.9400024414062,92334900,68.0273971557617
"401",73.3399963378906,74.5999984741211,72.9800033569336,73.9800033569336,70266800,68.0642242431641
"402",74.3099975585938,75.4899978637695,74.0699996948242,75.3099975585938,99998400,69.2878494262695
"403",75.2300033569336,75.9700012207031,73.8499984741211,74.4100036621094,94285700,68.459831237793
"404",74.0899963378906,74.5400009155273,72.9199981689453,74.4899978637695,89696800,68.5334167480469
"405",74.7099990844727,76.120002746582,73.7099990844727,76,75968000,69.9226760864258
"406",75.9700012207031,77.870002746582,75.8600006103516,77.4899978637695,72932100,71.2935256958008
"407",77.4199981689453,78.9700012207031,77.25,78.8099975585938,80464000,72.5079727172852
"408",78.9899978637695,86.1999969482422,78.0100021362305,83.8099975585938,161742600,77.108154296875
"409",83.6999969482422,84.5400009155273,82.879997253418,84.1399993896484,122777100,77.4117584228516
"410",84.1999969482422,84.9000015258789,82.9000015258789,83.870002746582,96411000,77.1633605957031
"411",83.6600036621094,84.0999984741211,82.2399978637695,82.4000015258789,95423100,76.191650390625
"412",82.4000015258789,83.9000015258789,82.25,83.2600021362305,65531200,76.9868392944336
"413",83.3099975585938,85.0599975585938,83.1800003051758,84.2600021362305,130159000,77.911506652832
"414",84.4199981689453,84.5800018310547,80.6999969482422,84.1600036621094,139082900,77.8190307617188
"415",84.2900009155273,87.0899963378906,84.120002746582,86.8499984741211,142087400,80.3063354492188
"416",87.120002746582,87.5,84.7099990844727,85.5100021362305,101620000,79.0672912597656
"417",85.3099975585938,86.0500030517578,85.0299987792969,85.5400009155273,53880900,79.0950546264648
"418",86.129997253418,88.4100036621094,85.5,88.1900024414062,93864300,81.5453948974609
"419",88.1999969482422,89.7799987792969,87.2399978637695,89.5999984741211,102329900,82.8491439819336
"420",90.0999984741211,90.7900009155273,88.0100021362305,90,123255600,83.2190322875977
"421",90,94.0599975585938,89.7399978637695,94.0599975585938,135847300,86.9731140136719
"422",95.1399993896484,96.0699996948242,91.5,91.7799987792969,214057000,84.8649063110352
"423",90.5599975585938,93.2399978637695,83.8300018310547,88.1800003051758,279265500,81.5361404418945
"424",88.7399978637695,93.5,87.8000030517578,92,155509700,85.4679336547852
"425",91.4800033569336,94.0699996948242,91.0100021362305,94.0599975585938,108556200,87.3816757202148
"426",94.4000015258789,95.8399963378906,90.8600006103516,93.0500030517578,157202200,86.443359375
"427",92.3399963378906,96.5400009155273,92.2600021362305,96.5400009155273,135618600,89.6855926513672
"428",96.5,97.2399978637695,92.8300018310547,94.5999984741211,170285800,87.8833389282227
"429",93.7399978637695,94.0500030517578,87.0800018310547,87.1800003051758,163550000,80.9901580810547
"430",90.6100006103516,95.1399993896484,88.4000015258789,91.2699966430664,211334400,84.7897796630859
"431",90.4700012207031,93.0699996948242,87.5100021362305,90.2300033569336,189087100,83.823600769043
